Id;Marque;Type;Immatriculation;Immatriculation courte;Type d'appareil;Taux horaire;Disponible;Etat;Heures restantes avant révision;Alerte avant révision
62;Savannah;Savannah-S;42OF;42OF;ULM;93;Oui;EN COURS;36,8;1
67;?;?;F-42IC;42IC;ULM;83;Non;CLOS;0;0
63;SOCATA;Rallye MS 892A;F-BMVS;VS;Avion;147;Non;CLOS;43;1
64;SOCATA;Rallye 150 ST;F-BXTP;TP;Avion;147;Oui;EN COURS;44,8;1
61;SOCATA;Rallye 150 ST;F-GBKS;KS;Avion;138;Non;CLOS;80,4;2
68;SOCATA;Rallye 180 TS;F-HBPZ;PZ;Avion;147;Oui;EN COURS;43,2;2
73;TECNAM;P2008;F-HCPY;PY;Avion;135;Oui;EN COURS;31,8;2
71;SKYRANGER;NINJA;F-JDYI;34ALU;ULM;93;Non;CLOS;18,6;5
65;JODEL;Jodel D-112;F-PJXR;XR;Avion;87;Oui;EN COURS;25,8;1
